0,3	1	3
0,6	3	1
0,8	3	1
0,11	1	3
1,2	2	1
1,5	1	2
1,9	1	2
1,12	2	1
2,1	2	1
2,4	2	1
2,10	2	1
2,13	2	1
3,0	1	3
3,3	3	1
3,7	1	2
3,11	3	1
3,14	1	3
4,2	2	1
4,6	2	1
4,8	2	1
4,12	2	1
5,1	1	2
5,5	3	1
5,9	3	1
5,13	1	2
6,0	3	1
6,4	2	1
6,10	2	1
6,14	3	1
7,3	1	2
7,11	1	2
14,3	1	3
14,6	3	1
14,8	3	1
14,11	1	3
13,2	2	1
13,5	1	2
13,9	1	2
13,12	2	1
12,1	2	1
12,4	2	1
12,10	2	1
12,13	2	1
11,0	1	3
11,3	3	1
11,7	1	2
11,11	3	1
11,14	1	3
10,2	2	1
10,6	2	1
10,8	2	1
10,12	2	1
9,1	1	2
9,5	3	1
9,9	3	1
9,13	1	2
8,0	3	1
8,4	2	1
8,10	2	1
8,14	3	1
